Position,driver,q1
1,ROS,70.347
2,HAM,70.457
3,MAS,70.602
4,BOT,70.832
5,BUT,71.097
6,MAG,71.134
7,RAI,71.193
8,KVY,71.423
9,GUT,71.520
10,ALO,71.558
11,RIC,71.593
12,HUL,71.848
13,VET,71.880
14,SUT,71.943
15,GRO,72.037
16,VER,72.040
17,PER,72.076
18,MAL,72.233
19,HAM,88.586
20,ROS,88.906
21,MAS,89.246
22,VER,89.248
23,VET,89.307
24,GRO,89.537
25,SAI,89.597
26,BOT,89.641
27,HUL,89.651
28,RAI,89.754
29,RIC,89.788
30,MAL,89.847
31,PER,89.990
32,KVY,90.402
33,NAS,90.430
34,ERI,91.376
35,BUT,91.422
36,MAG,92.037
37,HAM,99.269
38,ROS,99.374
39,VET,99.621
40,GRO,99.679
41,VET,99.814
42,RIC,100.504
43,HAM,101.207
44,ROS,101.308
45,MAS,101.475
46,MAG,102.104
47,BUT,102.137
48,KVY,102.302
49,BOT,102.346
50,VER,102.413
51,RAI,102.439
52,HUL,102.444
53,ALO,102.467
54,PER,102.654
55,SUT,102.746
56,GRO,102.768
57,GUT,102.819
58,MAL,102.860
59,KOB,104.540
60,STE,105.095
