Position,driver,q1
1,VER,77.557
2,ROS,77.678
3,HAM,77.823
4,ALO,77.853
5,BUT,77.890
6,RIC,77.900
7,RAI,77.902
8,MAG,77.978
9,PER,78.108
10,VET,78.383
11,BOT,78.407
12,HUL,78.432
13,KVY,78.616
14,ROS,86.764
15,HAM,87.238
16,VET,87.958
17,RIC,88.053
18,MAS,88.061
19,KVY,88.074
20,HUL,88.155
21,VER,88.194
22,BOT,88.198
23,BUT,88.279
24,RAI,88.308
25,ALO,88.329
26,GUT,88.374
27,MAG,88.389
28,PER,88.469
29,GRO,88.472
30,SUT,88.563
31,CHI,89.586
32,BIA,90.177
33,ERI,90.312
34,KOB,90.375
35,SUT,96.840
36,KOB,97.085
37,BIA,97.310
38,ERI,97.875
39,CHI,97.913
40,HAM,115.516
41,HUL,115.913
42,VET,115.926
43,ROS,116.058
44,BOT,116.501
45,RIC,116.641
46,MAS,116.850
47,ALO,116.961
48,KVY,117.261
49,MAG,117.369
50,VER,117.477
51,BUT,117.783
52,SUT,118.138
53,RAI,118.279
54,PER,118.362
55,GRO,118.411
56,GUT,118.988
57,KOB,119.260
58,BIA,119.326
59,ERI,120.646
60,CHI,120.865
